Match Number,Round Number,Eco before purchase,Drop Given to Teammate,Eco after purchase,sidearms,main weapon,Shield type,Friendly drop weapon,Contingency Ability,Undercut Ability,kills,round win/loss,match status,Side,Economy Tier,Total Utilities Used,Round Type
1,1,800,none,100,ghost,none,none,none,1,0,2,win,defeat,defenders,low,1,pistol
1,2,3500,none,50,ghost,guardian,heavy,none,0,1,1,win,defeat,defenders,medium,1.35,mid buy
1,3,3250,none,2250,classic,none,heavy,Guardian,0,1,0,loss,defeat,defenders,medium,0.95,mid buy
1,4,4150,none,50,classic,vandal,heavy,none,1,1,2,win,defeat,defenders,high,1.17,full buy
1,5,3450,none,3050,classic,vandal,heavy,none,1,2,2,win,defeat,defenders,medium,1.29,mid buy
1,6,6450,none,5250,classic,none,heavy,Vandal,1,2,0,win,defeat,defenders,high,1.08,full buy
1,7,8250,none,3950,classic,vandal,heavy,none,1,2,1,win,defeat,defenders,high,1.26,full buy
1,8,7150,none,2650,classic,vandal,heavy,none,1,2,0,win,defeat,defenders,high,1.29,full buy
1,9,5650,none,1350,classic,vandal,heavy,none,1,2,0,loss,defeat,defenders,high,0.94,full buy
1,10,3250,none,2250,classic,none,heavy,Vandal,1,2,0,win,defeat,defenders,medium,1.24,mid buy
1,11,5250,none,1350,classic,vandal,heavy,none,1,2,0,loss,defeat,defenders,high,0.99,full buy
1,12,3250,none,2250,classic,none,heavy,Vandal,1,2,2,loss,defeat,defenders,medium,1,mid buy
1,13,800,none,100,ghost,none,none,none,1,0,3,win,defeat,attackers,low,1.03,pistol
1,14,4000,none,100,ghost,vandal,heavy,none,0,0,2,win,defeat,attackers,medium,1.32,mid buy
1,15,3800,none,2200,ghost,vandal,heavy,none,1,2,0,loss,defeat,attackers,medium,0.97,mid buy
1,16,4100,none,0,classic,vandal,heavy,none,1,0,0,loss,defeat,attackers,high,1.04,full buy
1,17,2400,none,1600,sheriff,none,none,none,1,0,0,loss,defeat,attackers,medium,1.04,mid buy
1,18,4500,none,200,classic,vandal,heavy,none,1,2,0,loss,defeat,attackers,high,0.97,full buy
1,19,3100,none,1750,classic,marshal,light,none,1,2,0,loss,defeat,attackers,medium,1.07,mid buy
1,20,4650,none,750,classic,vandal,heavy,none,1,2,0,loss,defeat,attackers,high,1.01,full buy
1,21,3650,none,350,classic,vandal,light,none,1,2,0,loss,defeat,attackers,medium,1.16,mid buy
1,22,3250,none,0,classic,guardian,heavy,none,1,0,1,win,defeat,attackers,medium,1.12,mid buy
1,23,3500,none,0,classic,vandal,light,none,1,1,0,loss,defeat,attackers,medium,1.06,mid buy
1,24,1900,none,100,sheriff,none,heavy,Vandal,1,0,1,loss,defeat,attackers,medium,1.16,mid buy
2,1,800,none,100,ghost,none,none,none,0,1,4,win,victory,attackers,low,0.99,pistol
2,2,4200,none,3200,ghost,none,light,none,1,2,2,win,victory,attackers,high,1.24,full buy
2,3,6900,none,3000,classic,vandal,heavy,none,1,2,1,win,victory,attackers,high,1.17,full buy
2,4,6500,none,2200,classic,vandal,heavy,none,1,2,0,loss,victory,attackers,high,0.96,full buy
2,5,4100,none,0,classic,vandal,heavy,none,1,2,3,win,victory,attackers,high,1.26,full buy
2,6,3900,none,2500,classic,vandal,heavy,none,1,2,1,loss,victory,attackers,medium,1.01,mid buy
2,7,4900,none,800,classic,vandal,heavy,none,1,2,3,loss,victory,attackers,high,1,full buy
2,8,4100,none,400,classic,vandal,light,none,1,2,1,loss,victory,attackers,high,1.16,full buy
2,9,3800,none,100,classic,vandal,light,none,1,2,2,win,victory,attackers,medium,1.15,mid buy
2,10,3800,none,2400,classic,vandal,heavy,none,1,2,2,win,victory,attackers,medium,1.12,mid buy
2,11,6100,none,1600,classic,vandal,heavy,none,1,2,3,win,victory,attackers,high,1.15,full buy
2,12,5500,none,1600,classic,vandal,heavy,none,1,2,3,win,victory,attackers,high,1.17,full buy
2,13,800,none,0,classic,none,light,none,1,1,3,win,victory,defenders,low,0.96,pistol
2,14,3600,none,3400,classic,none,none,none,0,1,0,win,victory,defenders,medium,1.18,save
2,15,6400,none,2100,classic,vandal,heavy,none,1,2,1,loss,victory,defenders,high,1.05,full buy
2,16,4200,none,300,classic,vandal,heavy,none,1,2,2,loss,victory,defenders,high,1.01,full buy
2,17,3100,none,1350,classic,marshal,light,none,1,2,0,loss,victory,defenders,medium,1.09,mid buy
2,18,4250,none,350,classic,vandal,heavy,none,1,2,4,win,victory,defenders,high,1.11,full buy
2,19,4150,Vandal,450,classic,vandal,light,none,1,2,3,win,victory,defenders,high,1.11,full buy
2,20,4050,none,3050,classic,vandal,heavy,none,1,2,3,win,victory,defenders,high,1.2,full buy
3,1,800,none,0,classic,none,light,none,1,1,3,win,defeat,attackers,low,1.03,pistol
3,2,3900,none,3300,sheriff,none,light,Sheriff,1,2,1,loss,defeat,attackers,medium,0.88,mid buy
3,3,5800,none,1700,classic,vandal,heavy,none,1,2,3,win,defeat,attackers,high,1.2,full buy
3,4,6000,none,2100,classic,vandal,heavy,none,1,2,0,win,defeat,attackers,high,1.19,full buy
3,5,5400,none,1500,classic,vandal,heavy,none,1,2,0,loss,defeat,attackers,high,1.05,full buy
3,6,3400,none,100,classic,vandal,light,none,1,2,0,loss,defeat,attackers,medium,0.99,mid buy
3,7,2500,none,2500,classic,none,none,none,1,2,1,win,defeat,attackers,medium,1.1,save
3,8,5700,none,1200,classic,vandal,heavy,none,1,2,0,loss,defeat,attackers,high,0.98,full buy
3,9,3400,none,2450,classic,marshal,none,none,1,1,0,loss,defeat,attackers,medium,1.16,mid buy
3,10,4850,none,750,classic,vandal,heavy,none,1,2,0,loss,defeat,attackers,high,1.02,full buy
3,11,3650,none,150,classic,vandal,light,none,1,1,4,win,defeat,attackers,medium,1.14,mid buy
3,12,4250,none,350,classic,vandal,light,none,1,2,0,loss,defeat,attackers,high,0.93,full buy
3,13,800,none,100,ghost,none,light,none,0,1,3,win,defeat,defenders,low,0.88,pistol
3,14,3700,none,0,ghost,vandal,light,none,1,2,1,win,defeat,defenders,medium,1.32,mid buy
3,15,3200,none,550,classic,guardian,light,none,1,2,0,win,defeat,defenders,medium,1.17,mid buy
3,16,3550,none,2550,classic,vandal,heavy,Vandal,1,2,2,loss,defeat,defenders,medium,1.06,mid buy
3,17,4850,none,3300,classic,marshal,light,none,1,2,2,win,defeat,defenders,high,1.27,full buy
3,18,6700,none,2200,classic,vandal,heavy,none,1,2,0,loss,defeat,defenders,high,1.02,full buy
3,19,4100,none,200,classic,vandal,heavy,none,1,2,0,loss,defeat,defenders,high,1.03,full buy
3,20,2600,none,2600,classic,none,none,none,1,2,0,loss,defeat,defenders,medium,0.96,save
3,21,5500,none,1600,classic,vandal,heavy,none,1,2,2,loss,defeat,defenders,high,0.97,full buy
3,22,4900,none,400,classic,vandal,heavy,none,1,2,0,loss,defeat,defenders,high,0.83,full buy
